URL,Topics
http://www.amazon.com/Cuisinart-CPT-122-Compact-2-Slice-Toaster/dp/B009GQ034C/ref=sr_1_1?s=kitchen&ie=UTF8&qid=1431620315&sr=1-1&keywords=toaster,"shopping, kitchen, appliances, selection, coffee, machines, blenders, juicers, ovens, specialty, prices, amazon.com, cuisinart, slice, toaster, oven, compact, cpt, home, amazon, feedback, stars, reviews, color, size"
http://blog.rei.com/camp/how-to-introduce-your-indoorsy-friend-to-the-outdoors/,"passion, outdoors, friend, rei, gear, co-op, path, camping, time, life, store"
http://www.cnn.com/2013/06/10/politics/edward-snowden-profile/,"edward, snowden, u.s., man, secrets, surveillance, program, cnn, ad, nsa, video, account, feedback, tv, government"
https://www.freecodecamp.org/news/how-to-write-a-good-software-design-document-66fcf019569c/,"angela, zhang, software, design, doc, photo, estée, janssens, unsplash, engineer, lot, time, documents, hundreds, docs, hand, correlation, project, people, advertisement, feedback, solution, team, reviewer, section"
